"No.","Time","Source","Destination","Protocol","Length","Info"
"93","5.408818","192.168.43.153","103.27.9.20","HTTP","581","GET /sites/default/themes/fusion/fusion_core/css/superfish.css?Y HTTP/1.1 "
"94","5.414211","103.27.9.20","192.168.43.153","HTTP","315","HTTP/1.1 304 Not Modified "
"95","5.414335","192.168.43.153","103.27.9.20","HTTP","588","GET /sites/default/themes/fusion/fusion_core/css/superfish-navbar.css?Y HTTP/1.1 "
"96","5.447746","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"97","5.447855","192.168.43.153","103.27.9.20","HTTP","590","GET /sites/default/themes/fusion/fusion_core/css/superfish-vertical.css?Y HTTP/1.1 "
"98","5.554287","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"99","5.554476","192.168.43.153","103.27.9.20","HTTP","589","GET /sites/default/themes/acquia_prosper/css/acquia-prosper-style.css?Y HTTP/1.1 "
"100","5.554571","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"101","5.554605","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"102","5.554744","192.168.43.153","103.27.9.20","HTTP","587","GET /sites/default/themes/acquia_prosper/design_packs/gray/gray.css?Y HTTP/1.1 "
"103","5.554918","192.168.43.153","103.27.9.20","HTTP","567","GET /sites/default/modules/jquery_update/replace/jquery.min.js?Y HTTP/1.1 "
"104","5.610141","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"105","5.610308","192.168.43.153","103.27.9.20","HTTP","524","GET /misc/drupal.js?Y HTTP/1.1 "
"106","5.629300","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"107","5.629520","192.168.43.153","103.27.9.20","HTTP","556","GET /sites/default/modules/dhtml_menu/dhtml_menu.js?Y HTTP/1.1 "
"108","5.643274","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"109","5.643556","192.168.43.153","103.27.9.20","HTTP","550","GET /sites/default/modules/panels/js/panels.js?Y HTTP/1.1 "
"110","5.663276","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"111","5.663557","192.168.43.153","103.27.9.20","HTTP","563","GET /sites/all/modules/jcarousel/js/jquery.jcarousel.min.js?Y HTTP/1.1 "
"112","5.673217","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"113","5.673470","192.168.43.153","103.27.9.20","HTTP","551","GET /sites/all/modules/jcarousel/js/jcarousel.js?Y HTTP/1.1 "
"114","5.689241","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"115","5.689475","192.168.43.153","103.27.9.20","HTTP","547","GET /sites/default/modules/views/js/base.js?Y HTTP/1.1 "
"116","5.704386","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"117","5.704544","192.168.43.153","103.27.9.20","HTTP","553","GET /sites/default/modules/views/js/ajax_view.js?Y HTTP/1.1 "
"118","5.713165","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"119","5.713367","192.168.43.153","103.27.9.20","HTTP","579","GET /sites/default/modules/views_nivo_slider/js/jquery.nivo.slider.pack.js?Y HTTP/1.1 "
"120","5.716519","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"121","5.716681","192.168.43.153","103.27.9.20","HTTP","572","GET /sites/default/modules/views_nivo_slider/js/views_nivo_slider.js?Y HTTP/1.1 "
"122","5.733232","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"123","5.733419","192.168.43.153","103.27.9.20","HTTP","555","GET /sites/default/modules/ticketyboo/ticketyboo.js?Y HTTP/1.1 "
"124","5.743245","103.27.9.20","192.168.43.153","HTTP","315","HTTP/1.1 304 Not Modified "
"125","5.743530","192.168.43.153","103.27.9.20","HTTP","574","GET /sites/default/themes/fusion/fusion_core/js/jquery.bgiframe.min.js?Y HTTP/1.1 "
"126","5.764239","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"127","5.764529","192.168.43.153","103.27.9.20","HTTP","566","GET /sites/default/themes/fusion/fusion_core/js/hoverIntent.js?Y HTTP/1.1 "
"128","5.779228","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"129","5.779480","192.168.43.153","103.27.9.20","HTTP","566","GET /sites/default/themes/fusion/fusion_core/js/supposition.js?Y HTTP/1.1 "
"130","5.789263","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"131","5.789523","192.168.43.153","103.27.9.20","HTTP","564","GET /sites/default/themes/fusion/fusion_core/js/supersubs.js?Y HTTP/1.1 "
"132","5.792572","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"133","5.792811","192.168.43.153","103.27.9.20","HTTP","564","GET /sites/default/themes/fusion/fusion_core/js/superfish.js?Y HTTP/1.1 "
"134","5.809734","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"135","5.810022","192.168.43.153","103.27.9.20","HTTP","562","GET /sites/default/themes/fusion/fusion_core/js/script.js?Y HTTP/1.1 "
"136","5.817960","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"137","5.818179","192.168.43.153","103.27.9.20","HTTP","565","GET /sites/default/themes/acquia_prosper/js/jquery.corner.js?Y HTTP/1.1 "
"138","5.839265","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"139","5.839419","192.168.43.153","103.27.9.20","HTTP","572","GET /sites/default/themes/acquia_prosper/js/acquia-prosper-script.js?Y HTTP/1.1 "
"140","5.854086","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"141","5.878195","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"142","5.878438","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"144","5.909174","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"147","5.918200","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"148","5.939135","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"163","8.594618","192.168.43.153","162.213.33.44","HTTP","195","GET /v0/search HTTP/1.1 "
"165","8.915212","162.213.33.44","192.168.43.153","HTTP/JSON","402","HTTP/1.1 200 OK , JSON (application/json)"
"173","10.515186","192.168.43.153","162.213.33.44","HTTP","196","GET /v0/sources HTTP/1.1 "
"175","10.835954","162.213.33.44","192.168.43.153","HTTP/JSON","402","HTTP/1.1 200 OK , JSON (application/json)"
"217","69.741330","192.168.43.153","162.213.33.44","HTTP","195","GET /v0/search HTTP/1.1 "
"219","69.933746","162.213.33.44","192.168.43.153","HTTP/JSON","402","HTTP/1.1 200 OK , JSON (application/json)"
"227","71.798333","192.168.43.153","162.213.33.44","HTTP","196","GET /v0/sources HTTP/1.1 "
"229","72.117160","162.213.33.44","192.168.43.153","HTTP/JSON","402","HTTP/1.1 200 OK , JSON (application/json)"
"239","76.328605","192.168.43.153","103.27.9.167","HTTP","473","GET /vacancies HTTP/1.1 "
"249","76.687584","103.27.9.167","192.168.43.153","HTTP","1296","HTTP/1.1 200 OK  (text/html)"
"251","76.871339","192.168.43.153","103.27.9.167","HTTP","516","GET /modules/node/node.css?5 HTTP/1.1 "
"259","77.000616","192.168.43.153","103.27.9.167","HTTP","522","GET /modules/system/defaults.css?5 HTTP/1.1 "
"262","77.003774","192.168.43.153","103.27.9.167","HTTP","520","GET /modules/system/system.css?5 HTTP/1.1 "
"265","77.051358","192.168.43.153","103.27.9.167","HTTP","545","GET /sites/default/modules/cck/theme/content-module.css?5 HTTP/1.1 "
"268","77.051941","192.168.43.153","103.27.9.167","HTTP","526","GET /modules/system/system-menus.css?5 HTTP/1.1 "
"271","77.056393","192.168.43.153","103.27.9.167","HTTP","516","GET /modules/user/user.css?5 HTTP/1.1 "
"273","77.107092","103.27.9.167","192.168.43.153","HTTP","797","HTTP/1.1 200 OK  (text/css)"
"275","77.107255","192.168.43.153","103.27.9.167","HTTP","538","GET /sites/default/modules/ctools/css/ctools.css?5 HTTP/1.1 "
"277","77.182326","103.27.9.167","192.168.43.153","HTTP","851","HTTP/1.1 200 OK  (text/css)"
"279","77.182486","192.168.43.153","103.27.9.167","HTTP","530","GET /sites/default/modules/date/date.css?5 HTTP/1.1 "
"285","77.239818","103.27.9.167","192.168.43.153","HTTP","778","HTTP/1.1 200 OK  (text/css)"
"287","77.240088","192.168.43.153","103.27.9.167","HTTP","558","GET /sites/default/modules/date/date_popup/themes/datepicker.1.7.css?5 HTTP/1.1 "
"291","77.271714","103.27.9.167","192.168.43.153","HTTP","96","HTTP/1.1 200 OK  (text/css)"
"293","77.271938","192.168.43.153","103.27.9.167","HTTP","560","GET /sites/default/modules/date/date_popup/themes/jquery.timeentry.css?5 HTTP/1.1 "
"295","77.319768","103.27.9.167","192.168.43.153","HTTP","796","HTTP/1.1 200 OK  (text/css)"
"297","77.320001","192.168.43.153","103.27.9.167","HTTP","542","GET /sites/default/modules/dhtml_menu/dhtml_menu.css?5 HTTP/1.1 "
"299","77.400359","103.27.9.167","192.168.43.153","HTTP","906","HTTP/1.1 200 OK  (text/css)"
"301","77.400614","192.168.43.153","103.27.9.167","HTTP","540","GET /sites/default/modules/filefield/filefield.css?5 HTTP/1.1 "
"302","77.470333","103.27.9.167","192.168.43.153","HTTP","775","HTTP/1.1 200 OK  (text/css)"
"303","77.470467","192.168.43.153","103.27.9.167","HTTP","538","GET /sites/default/modules/panels/css/panels.css?5 HTTP/1.1 "
"305","77.522879","103.27.9.167","192.168.43.153","HTTP","394","HTTP/1.1 200 OK  (text/css)"
"307","77.522963","192.168.43.153","103.27.9.167","HTTP","525","GET /misc/farbtastic/farbtastic.css?5 HTTP/1.1 "
"309","77.597834","103.27.9.167","192.168.43.153","HTTP","130","HTTP/1.1 200 OK  (text/css)"
"311","77.597927","192.168.43.153","103.27.9.167","HTTP","538","GET /sites/default/modules/calendar/calendar.css?5 HTTP/1.1 "
"312","77.647366","103.27.9.167","192.168.43.153","HTTP","605","HTTP/1.1 200 OK  (text/css)"
"313","77.647519","192.168.43.153","103.27.9.167","HTTP","554","GET /sites/default/modules/cck/modules/fieldgroup/fieldgroup.css?5 HTTP/1.1 "
"314","77.701352","103.27.9.167","192.168.43.153","HTTP","1079","HTTP/1.1 200 OK  (text/css)"
"315","77.701507","192.168.43.153","103.27.9.167","HTTP","536","GET /sites/default/modules/views/css/views.css?5 HTTP/1.1 "
"316","77.751320","103.27.9.167","192.168.43.153","HTTP","916","HTTP/1.1 200 OK  (text/css)"
"317","77.751474","192.168.43.153","103.27.9.167","HTTP","548","GET /sites/default/themes/fusion/fusion_core/css/style.css?5 HTTP/1.1 "
"318","77.785554","103.27.9.167","192.168.43.153","HTTP","814","HTTP/1.1 200 OK  (text/css)"
"319","77.785701","192.168.43.153","103.27.9.167","HTTP","553","GET /sites/default/themes/fusion/fusion_core/css/typography.css?5 HTTP/1.1 "
"320","77.827188","103.27.9.167","192.168.43.153","HTTP","722","HTTP/1.1 200 OK  (text/css)"
"321","77.827320","192.168.43.153","103.27.9.167","HTTP","552","GET /sites/default/themes/fusion/fusion_core/css/superfish.css?5 HTTP/1.1 "
"325","77.872506","103.27.9.167","192.168.43.153","HTTP","86","HTTP/1.1 200 OK  (text/css)"
"326","77.872590","192.168.43.153","103.27.9.167","HTTP","559","GET /sites/default/themes/fusion/fusion_core/css/superfish-navbar.css?5 HTTP/1.1 "
"327","77.906969","103.27.9.167","192.168.43.153","HTTP","623","HTTP/1.1 200 OK  (text/css)"
"328","77.907144","192.168.43.153","103.27.9.167","HTTP","561","GET /sites/default/themes/fusion/fusion_core/css/superfish-vertical.css?5 HTTP/1.1 "
"329","77.962945","103.27.9.167","192.168.43.153","HTTP","1108","HTTP/1.1 200 OK  (text/css)"
"330","77.963101","192.168.43.153","103.27.9.167","HTTP","559","GET /sites/default/themes/acquia_prosper/css/acquia-prosper-style.css?5 HTTP/1.1 "
"338","78.004655","103.27.9.167","192.168.43.153","HTTP","939","HTTP/1.1 200 OK  (text/css)"
"340","78.004795","192.168.43.153","103.27.9.167","HTTP","557","GET /sites/default/themes/acquia_prosper/design_packs/gray/gray.css?5 HTTP/1.1 "
"342","78.017265","103.27.9.167","192.168.43.153","HTTP","662","HTTP/1.1 200 OK  (text/css)"
"344","78.017433","192.168.43.153","103.27.9.167","HTTP","551","GET /sites/default/themes/fusion/fusion_core/css/grid16-960.css HTTP/1.1 "
"346","78.049386","103.27.9.167","192.168.43.153","HTTP","347","HTTP/1.1 200 OK  (text/css)"
"348","78.049515","192.168.43.153","103.27.9.167","HTTP","494","GET /misc/jquery.js?5 HTTP/1.1 "
"349","78.072053","103.27.9.167","192.168.43.153","HTTP","1250","HTTP/1.1 200 OK  (text/css)"
"350","78.072241","192.168.43.153","103.27.9.167","HTTP","494","GET /misc/drupal.js?5 HTTP/1.1 "
"351","78.107997","103.27.9.167","192.168.43.153","HTTP","1174","HTTP/1.1 200 OK  (text/css)"
"352","78.108244","192.168.43.153","103.27.9.167","HTTP","526","GET /sites/default/modules/dhtml_menu/dhtml_menu.js?5 HTTP/1.1 "
"360","78.148813","103.27.9.167","192.168.43.153","HTTP","671","HTTP/1.1 200 OK  (text/css)"
"362","78.148927","192.168.43.153","103.27.9.167","HTTP","521","GET /sites/default/modules/panels/js/panels.js?5 HTTP/1.1 "
"369","78.172988","103.27.9.167","192.168.43.153","HTTP","182","HTTP/1.1 200 OK  (text/css)"
"370","78.173046","192.168.43.153","103.27.9.167","HTTP","518","GET /sites/default/modules/views/js/base.js?5 HTTP/1.1 "
"371","78.187079","103.27.9.167","192.168.43.153","HTTP","942","HTTP/1.1 200 OK  (text/css)"
"372","78.187216","192.168.43.153","103.27.9.167","HTTP","523","GET /sites/default/modules/views/js/ajax_view.js?5 HTTP/1.1 "
"392","78.241874","103.27.9.167","192.168.43.153","HTTP","251","HTTP/1.1 200 OK  (application/javascript)"
"394","78.241949","192.168.43.153","103.27.9.167","HTTP","545","GET /sites/default/themes/fusion/fusion_core/js/jquery.bgiframe.min.js?5 HTTP/1.1 "
"399","78.268368","103.27.9.167","192.168.43.153","HTTP","161","HTTP/1.1 200 OK  (application/javascript)"
"401","78.268430","192.168.43.153","103.27.9.167","HTTP","537","GET /sites/default/themes/fusion/fusion_core/js/hoverIntent.js?5 HTTP/1.1 "
"405","78.291476","103.27.9.167","192.168.43.153","HTTP","1166","HTTP/1.1 200 OK  (application/javascript)"
"406","78.291547","192.168.43.153","103.27.9.167","HTTP","537","GET /sites/default/themes/fusion/fusion_core/js/supposition.js?5 HTTP/1.1 "
"407","78.292044","103.27.9.167","192.168.43.153","HTTP","759","HTTP/1.1 200 OK  (application/javascript)"
"408","78.292137","192.168.43.153","103.27.9.167","HTTP","535","GET /sites/default/themes/fusion/fusion_core/js/supersubs.js?5 HTTP/1.1 "
"410","78.327333","103.27.9.167","192.168.43.153","HTTP","528","HTTP/1.1 200 OK  (application/javascript)"
"412","78.327418","192.168.43.153","103.27.9.167","HTTP","535","GET /sites/default/themes/fusion/fusion_core/js/superfish.js?5 HTTP/1.1 "
"416","78.351649","103.27.9.167","192.168.43.153","HTTP","269","HTTP/1.1 200 OK  (application/javascript)"
"417","78.351701","192.168.43.153","103.27.9.167","HTTP","532","GET /sites/default/themes/fusion/fusion_core/js/script.js?5 HTTP/1.1 "
"419","78.377400","103.27.9.167","192.168.43.153","HTTP","104","HTTP/1.1 200 OK  (application/javascript)"
"421","78.377481","192.168.43.153","103.27.9.167","HTTP","535","GET /sites/default/themes/acquia_prosper/js/jquery.corner.js?5 HTTP/1.1 "
"423","78.424351","103.27.9.167","192.168.43.153","HTTP","517","HTTP/1.1 200 OK  (application/javascript)"
"425","78.424437","192.168.43.153","103.27.9.167","HTTP","543","GET /sites/default/themes/acquia_prosper/js/acquia-prosper-script.js?5 HTTP/1.1 "
"427","78.452353","103.27.9.167","192.168.43.153","HTTP","373","HTTP/1.1 200 OK  (application/javascript)"
"429","78.452443","192.168.43.153","103.27.9.167","HTTP","551","GET /sites/default/files/acquia_prosper_logo.jpg HTTP/1.1 "
"431","78.477520","103.27.9.167","192.168.43.153","HTTP","833","HTTP/1.1 200 OK  (application/javascript)"
"433","78.477607","192.168.43.153","103.27.9.167","HTTP","543","GET /sites/default/themes/acquia_prosper/favicon.ico HTTP/1.1 "
"435","78.503366","103.27.9.167","192.168.43.153","HTTP","800","HTTP/1.1 200 OK  (application/javascript)"
"438","78.527344","103.27.9.167","192.168.43.153","HTTP","904","HTTP/1.1 200 OK  (application/javascript)"
"443","78.559542","103.27.9.167","192.168.43.153","HTTP","585","HTTP/1.1 200 OK  (application/javascript)"
"444","78.592474","103.27.9.167","192.168.43.153","HTTP","718","HTTP/1.1 200 OK  (application/javascript)"
"447","78.617405","103.27.9.167","192.168.43.153","HTTP","1200","HTTP/1.1 200 OK  (JPEG JFIF image)"
"451","78.647309","103.27.9.167","192.168.43.153","HTTP","82","HTTP/1.1 200 OK  (image/vnd.microsoft.icon)"
"453","78.708611","192.168.43.153","103.27.9.167","HTTP","653","GET /sites/default/themes/acquia_prosper/design_packs/gray/images/primary-menu-bg.png HTTP/1.1 "
"454","78.708666","192.168.43.153","103.27.9.167","HTTP","560","GET /misc/menu-leaf.png HTTP/1.1 "
"456","78.811279","103.27.9.167","192.168.43.153","HTTP","280","HTTP/1.1 200 OK  (PNG)"
"458","78.836967","103.27.9.167","192.168.43.153","HTTP","614","HTTP/1.1 200 OK  (PNG)"
"478","82.102479","192.168.43.153","103.27.9.167","HTTP","602","GET /sites/default/files/jobs/project/IITD-IRD-122-2017.pdf HTTP/1.1 "
"503","82.362390","103.27.9.167","192.168.43.153","HTTP","243","HTTP/1.1 200 OK  (application/pdf)"
